name,version,file,integrity,url
"@cloudflare/unenv-preset","2.16.1","tarballs/cloudflare__unenv-preset-2.16.1.tgz","sha512-ECxObrMfyTl5bhQf/lZCXwo5G6xX9IAUo+nDMKK4SZ8m4Jvvxp52vilxyySSWh2YTZz8+HQ07qGH/2rEom1vDw==","https://registry.npmjs.org/@cloudflare/unenv-preset/-/unenv-preset-2.16.1.tgz"
"@cloudflare/vite-plugin","1.37.1","tarballs/cloudflare__vite-plugin-1.37.1.tgz","sha512-FldhsmkXyLsX3yI+p0aJDo/kGyY69pDdynz2JjcuH3eCiQ+G9XaY3CrN+UYEfCbWv8CiR2wL95lNg0fT/HfwWA==","https://registry.npmjs.org/@cloudflare/vite-plugin/-/vite-plugin-1.37.1.tgz"
"@cloudflare/workerd-darwin-64","1.20260515.1","tarballs/cloudflare__workerd-darwin-64-1.20260515.1.tgz","sha512-Wtw44el2pNbzixvTkWdfeBDTrQwQbJRz7/JUvPKV27I0pQWXbhNJPpM8cstq/pbrU5AGcA/HjFH6yPMRTIRKig==","https://registry.npmjs.org/@cloudflare/workerd-darwin-64/-/workerd-darwin-64-1.20260515.1.tgz"
"@cloudflare/workerd-darwin-arm64","1.20260515.1","tarballs/cloudflare__workerd-darwin-arm64-1.20260515.1.tgz","sha512-X8EqkZej6FfmhF9AVAQ3FhyQRr9acS4RcDunMU2YiuxKHF1IU8zzH3vY30/POaG+rUu9vGDp/VgUl49VPenHJQ==","https://registry.npmjs.org/@cloudflare/workerd-darwin-arm64/-/workerd-darwin-arm64-1.20260515.1.tgz"
"@cloudflare/workerd-linux-64","1.20260515.1","tarballs/cloudflare__workerd-linux-64-1.20260515.1.tgz","sha512-CDC89QxQ7Y7t7RG1Jd9vj/qolE1sQRkI2OSEuV5BMJi0vW/gV4OVG6xjpdK3b1OYnSWDzF7NpvlR5Yg86q7k4g==","https://registry.npmjs.org/@cloudflare/workerd-linux-64/-/workerd-linux-64-1.20260515.1.tgz"
"@cloudflare/workerd-linux-arm64","1.20260515.1","tarballs/cloudflare__workerd-linux-arm64-1.20260515.1.tgz","sha512-WxbW/PToYES4fvHXzsr/5qOiETQs/Z9iZ0mjSZAiEwq5cMLZemzGN0COx+uFb9OvQwzh6Pg159qPFnw3+i9FuA==","https://registry.npmjs.org/@cloudflare/workerd-linux-arm64/-/workerd-linux-arm64-1.20260515.1.tgz"
"@cloudflare/workerd-windows-64","1.20260515.1","tarballs/cloudflare__workerd-windows-64-1.20260515.1.tgz","sha512-WmV/iv+MHjYsvkcMVzpM2B5/mf06UUkdpVhZrtMfV9graWjBGPYFvE/eab8748RPVGKh1Xe1vXofLzDSwc08lA==","https://registry.npmjs.org/@cloudflare/workerd-windows-64/-/workerd-windows-64-1.20260515.1.tgz"
"@cspotcode/source-map-support","0.8.1","tarballs/cspotcode__source-map-support-0.8.1.tgz","sha512-IchNf6dN4tHoMFIn/7OE8LWZ19Y6q/67Bmf6vnGREv8RSbBVb9LPJxEcnwrcwX6ixSvaiGoomAUvu4YSxXrVgw==","https://registry.npmjs.org/@cspotcode/source-map-support/-/source-map-support-0.8.1.tgz"
"@dnd-kit/accessibility","3.1.1","tarballs/dnd-kit__accessibility-3.1.1.tgz","sha512-2P+YgaXF+gRsIihwwY1gCsQSYnu9Zyj2py8kY5fFvUM1qm2WA2u639R6YNVfU4GWr+ZM5mqEsfHZZLoRONbemw==","https://registry.npmjs.org/@dnd-kit/accessibility/-/accessibility-3.1.1.tgz"
"@dnd-kit/core","6.3.1","tarballs/dnd-kit__core-6.3.1.tgz","sha512-xkGBRQQab4RLwgXxoqETICr6S5JlogafbhNsidmrkVv2YRs5MLwpjoF2qpiGjQt8S9AoxtIV603s0GIUpY5eYQ==","https://registry.npmjs.org/@dnd-kit/core/-/core-6.3.1.tgz"
"@dnd-kit/sortable","10.0.0","tarballs/dnd-kit__sortable-10.0.0.tgz","sha512-+xqhmIIzvAYMGfBYYnbKuNicfSsk4RksY2XdmJhT+HAC01nix6fHCztU68jooFiMUB01Ky3F0FyOvhG/BZrWkg==","https://registry.npmjs.org/@dnd-kit/sortable/-/sortable-10.0.0.tgz"
"@dnd-kit/utilities","3.2.2","tarballs/dnd-kit__utilities-3.2.2.tgz","sha512-+MKAJEOfaBe5SmV6t34p80MMKhjvUz0vRrvVJbPT0WElzaOJ/1xs+D+KDv+tD/NE5ujfrChEcshd4fLn0wpiqg==","https://registry.npmjs.org/@dnd-kit/utilities/-/utilities-3.2.2.tgz"
"@drizzle-team/brocli","0.10.2","tarballs/drizzle-team__brocli-0.10.2.tgz","sha512-z33Il7l5dKjUgGULTqBsQBQwckHh5AbIuxhdsIxDDiZAzBOrZO6q9ogcWC65kU382AfynTfgNumVcNIjuIua6w==","https://registry.npmjs.org/@drizzle-team/brocli/-/brocli-0.10.2.tgz"
"@emnapi/core","1.10.0","tarballs/emnapi__core-1.10.0.tgz","sha512-yq6OkJ4p82CAfPl0u9mQebQHKPJkY7WrIuk205cTYnYe+k2Z8YBh11FrbRG/H6ihirqcacOgl2BIO8oyMQLeXw==","https://registry.npmjs.org/@emnapi/core/-/core-1.10.0.tgz"
"@emnapi/runtime","1.10.0","tarballs/emnapi__runtime-1.10.0.tgz","sha512-ewvYlk86xUoGI0zQRNq/mC+16R1QeDlKQy21Ki3oSYXNgLb45GV1P6A0M+/s6nyCuNDqe5VpaY84BzXGwVbwFA==","https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.10.0.tgz"
"@emnapi/wasi-threads","1.2.1","tarballs/emnapi__wasi-threads-1.2.1.tgz","sha512-uTII7OYF+/Mes/MrcIOYp5yOtSMLBWSIoLPpcgwipoiKbli6k322tcoFsxoIIxPDqW01SQGAgko4EzZi2BNv2w==","https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.1.tgz"
"@esbuild-kit/core-utils","3.3.2","tarballs/esbuild-kit__core-utils-3.3.2.tgz","sha512-sPRAnw9CdSsRmEtnsl2WXWdyquogVpB3yZ3dgwJfe8zrOzTsV7cJvmwrKVa+0ma5BoiGJ+BoqkMvawbayKUsqQ==","https://registry.npmjs.org/@esbuild-kit/core-utils/-/core-utils-3.3.2.tgz"
"@esbuild-kit/esm-loader","2.6.5","tarballs/esbuild-kit__esm-loader-2.6.5.tgz","sha512-FxEMIkJKnodyA1OaCUoEvbYRkoZlLZ4d/eXFu9Fh8CbBBgP5EmZxrfTRyN0qpXZ4vOvqnE5YdRdcrmUUXuU+dA==","https://registry.npmjs.org/@esbuild-kit/esm-loader/-/esm-loader-2.6.5.tgz"
